@relation CAL500-weka.filters.unsupervised.attribute.Remove-V-R69-242

@attribute Angry-Agressive {0,1}
@attribute NOT-Emotion-Angry-Agressive {0,1}
@attribute Emotion-Arousing-Awakening {0,1}
@attribute NOT-Emotion-Arousing-Awakening {0,1}
@attribute Emotion-Bizarre-Weird {0,1}
@attribute NOT-Emotion-Bizarre-Weird {0,1}
@attribute Emotion-Calming-Soothing {0,1}
@attribute NOT-Emotion-Calming-Soothing {0,1}
@attribute Emotion-Carefree-Lighthearted {0,1}
@attribute NOT-Emotion-Carefree-Lighthearted {0,1}
@attribute Emotion-Cheerful-Festive {0,1}
@attribute NOT-Emotion-Cheerful-Festive {0,1}
@attribute Emotion-Emotional-Passionate {0,1}
@attribute NOT-Emotion-Emotional-Passionate {0,1}
@attribute Emotion-Exciting-Thrilling {0,1}
@attribute NOT-Emotion-Exciting-Thrilling {0,1}
@attribute Emotion-Happy {0,1}
@attribute NOT-Emotion-Happy {0,1}
@attribute Emotion-Laid-back-Mellow {0,1}
@attribute NOT-Emotion-Laid-back-Mellow {0,1}
@attribute Emotion-Light-Playful {0,1}
@attribute NOT-Emotion-Light-Playful {0,1}
@attribute Emotion-Loving-Romantic {0,1}
@attribute NOT-Emotion-Loving-Romantic {0,1}
@attribute Emotion-Pleasant-Comfortable {0,1}
@attribute NOT-Emotion-Pleasant-Comfortable {0,1}
@attribute Emotion-Positive-Optimistic {0,1}
@attribute NOT-Emotion-Positive-Optimistic {0,1}
@attribute Emotion-Powerful-Strong {0,1}
@attribute NOT-Emotion-Powerful-Strong {0,1}
@attribute Emotion-Sad {0,1}
@attribute NOT-Emotion-Sad {0,1}
@attribute Emotion-Tender-Soft {0,1}
@attribute NOT-Emotion-Tender-Soft {0,1}
@attribute Emotion-Touching-Loving {0,1}
@attribute NOT-Emotion-Touching-Loving {0,1}
@attribute Genre--_Alternative {0,1}
@attribute Genre--_Alternative_Folk {0,1}
@attribute Genre--_Bebop {0,1}
@attribute Genre--_Brit_Pop {0,1}
@attribute Genre--_Classic_Rock {0,1}
@attribute Genre--_Contemporary_Blues {0,1}
@attribute Genre--_Contemporary_RandB {0,1}
@attribute Genre--_Cool_Jazz {0,1}
@attribute Genre--_Country_Blues {0,1}
@attribute Genre--_Dance_Pop {0,1}
@attribute Genre--_Electric_Blues {0,1}
@attribute Genre--_Funk {0,1}
@attribute Genre--_Gospel {0,1}
@attribute Genre--_Metal-Hard_Rock {0,1}
@attribute Genre--_Punk {0,1}
@attribute Genre--_Roots_Rock {0,1}
@attribute Genre--_Singer-Songwriter {0,1}
@attribute Genre--_Soft_Rock {0,1}
@attribute Genre--_Soul {0,1}
@attribute Genre--_Swing {0,1}
@attribute Genre-Bluegrass {0,1}
@attribute Genre-Blues {0,1}
@attribute Genre-Country {0,1}
@attribute Genre-Electronica {0,1}
@attribute Genre-Folk {0,1}
@attribute Genre-Hip_Hop-Rap {0,1}
@attribute Genre-Jazz {0,1}
@attribute Genre-Pop {0,1}
@attribute Genre-RandB {0,1}
@attribute Genre-Rock {0,1}
@attribute Genre-World {0,1}
@attribute Instrument_-_Acoustic_Guitar {0,1}
@attribute Instrument_-_Ambient_Sounds {0,1}
@attribute Instrument_-_Backing_vocals {0,1}
@attribute Instrument_-_Bass {0,1}
@attribute Instrument_-_Drum_Machine {0,1}
@attribute Instrument_-_Drum_Set {0,1}
@attribute Instrument_-_Electric_Guitar_(clean) {0,1}
@attribute Instrument_-_Electric_Guitar_(distorted) {0,1}
@attribute Instrument_-_Female_Lead_Vocals {0,1}
@attribute Instrument_-_Hand_Drums {0,1}
@attribute Instrument_-_Harmonica {0,1}
@attribute Instrument_-_Horn_Section {0,1}
@attribute Instrument_-_Male_Lead_Vocals {0,1}
@attribute Instrument_-_Organ {0,1}
@attribute Instrument_-_Piano {0,1}
@attribute Instrument_-_Samples {0,1}
@attribute Instrument_-_Saxophone {0,1}
@attribute Instrument_-_Sequencer {0,1}
@attribute Instrument_-_String_Ensemble {0,1}
@attribute Instrument_-_Synthesizer {0,1}
@attribute Instrument_-_Tambourine {0,1}
@attribute Instrument_-_Trombone {0,1}
@attribute Instrument_-_Trumpet {0,1}
@attribute Instrument_-_Violin-Fiddle {0,1}
@attribute Song-Catchy-Memorable {0,1}
@attribute NOT-Song-Catchy-Memorable {0,1}
@attribute Song-Changing_Energy_Level {0,1}
@attribute NOT-Song-Changing_Energy_Level {0,1}
@attribute Song-Fast_Tempo {0,1}
@attribute NOT-Song-Fast_Tempo {0,1}
@attribute Song-Heavy_Beat {0,1}
@attribute NOT-Song-Heavy_Beat {0,1}
@attribute Song-High_Energy {0,1}
@attribute NOT-Song-High_Energy {0,1}
@attribute Song-Like {0,1}
@attribute NOT-Song-Like {0,1}
@attribute Song-Positive_Feelings {0,1}
@attribute NOT-Song-Positive_Feelings {0,1}
@attribute Song-Quality {0,1}
@attribute NOT-Song-Quality {0,1}
@attribute Song-Recommend {0,1}
@attribute NOT-Song-Recommend {0,1}
@attribute Song-Recorded {0,1}
@attribute NOT-Song-Recorded {0,1}
@attribute Song-Texture_Acoustic {0,1}
@attribute Song-Texture_Electric {0,1}
@attribute Song-Texture_Synthesized {0,1}
@attribute Song-Tonality {0,1}
@attribute NOT-Song-Tonality {0,1}
@attribute Song-Very_Danceable {0,1}
@attribute NOT-Song-Very_Danceable {0,1}
@attribute Usage-At_a_party {0,1}
@attribute Usage-At_work {0,1}
@attribute Usage-Cleaning_the_house {0,1}
@attribute Usage-Driving {0,1}
@attribute Usage-Exercising {0,1}
@attribute Usage-Getting_ready_to_go_out {0,1}
@attribute Usage-Going_to_sleep {0,1}
@attribute Usage-Hanging_with_friends {0,1}
@attribute Usage-Intensely_Listening {0,1}
@attribute Usage-Reading {0,1}
@attribute Usage-Romancing {0,1}
@attribute Usage-Sleeping {0,1}
@attribute Usage-Studying {0,1}
@attribute Usage-Waking_up {0,1}
@attribute Usage-With_the_family {0,1}
@attribute Vocals-Aggressive {0,1}
@attribute Vocals-Altered_with_Effects {0,1}
@attribute Vocals-Breathy {0,1}
@attribute Vocals-Call_and_Response {0,1}
@attribute Vocals-Duet {0,1}
@attribute Vocals-Emotional {0,1}
@attribute Vocals-Falsetto {0,1}
@attribute Vocals-Gravelly {0,1}
@attribute Vocals-High-pitched {0,1}
@attribute Vocals-Low-pitched {0,1}
@attribute Vocals-Monotone {0,1}
@attribute Vocals-Rapping {0,1}
@attribute Vocals-Screaming {0,1}
@attribute Vocals-Spoken {0,1}
@attribute Vocals-Strong {0,1}
@attribute Vocals-Vocal_Harmonies {0,1}
@attribute Genre-Best--_Alternative {0,1}
@attribute Genre-Best--_Classic_Rock {0,1}
@attribute Genre-Best--_Metal-Hard_Rock {0,1}
@attribute Genre-Best--_Punk {0,1}
@attribute Genre-Best--_Soft_Rock {0,1}
@attribute Genre-Best--_Soul {0,1}
@attribute Genre-Best-Blues {0,1}
@attribute Genre-Best-Country {0,1}
@attribute Genre-Best-Electronica {0,1}
@attribute Genre-Best-Folk {0,1}
@attribute Genre-Best-Hip_Hop-Rap {0,1}
@attribute Genre-Best-Jazz {0,1}
@attribute Genre-Best-Pop {0,1}
@attribute Genre-Best-RandB {0,1}
@attribute Genre-Best-Rock {0,1}
@attribute Genre-Best-World {0,1}
@attribute Instrument_-_Acoustic_Guitar-Solo {0,1}
@attribute Instrument_-_Electric_Guitar_(clean)-Solo {0,1}
@attribute Instrument_-_Electric_Guitar_(distorted)-Solo {0,1}
@attribute Instrument_-_Female_Lead_Vocals-Solo {0,1}
@attribute Instrument_-_Harmonica-Solo {0,1}
@attribute Instrument_-_Male_Lead_Vocals-Solo {0,1}
@attribute Instrument_-_Piano-Solo {0,1}
@attribute Instrument_-_Saxophone-Solo {0,1}
@attribute Instrument_-_Trumpet-Solo {0,1}

@data
0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
