@relation Corel5k-weka.filters.unsupervised.attribute.Remove-V-R500-873

@attribute city {0,1}
@attribute mountain {0,1}
@attribute sky {0,1}
@attribute sun {0,1}
@attribute water {0,1}
@attribute clouds {0,1}
@attribute tree {0,1}
@attribute bay {0,1}
@attribute lake {0,1}
@attribute sea {0,1}
@attribute beach {0,1}
@attribute boats {0,1}
@attribute people {0,1}
@attribute branch {0,1}
@attribute leaf {0,1}
@attribute grass {0,1}
@attribute plain {0,1}
@attribute palm {0,1}
@attribute horizon {0,1}
@attribute shell {0,1}
@attribute hills {0,1}
@attribute waves {0,1}
@attribute birds {0,1}
@attribute land {0,1}
@attribute dog {0,1}
@attribute bridge {0,1}
@attribute ships {0,1}
@attribute buildings {0,1}
@attribute fence {0,1}
@attribute island {0,1}
@attribute storm {0,1}
@attribute peaks {0,1}
@attribute jet {0,1}
@attribute plane {0,1}
@attribute runway {0,1}
@attribute basket {0,1}
@attribute flight {0,1}
@attribute flag {0,1}
@attribute helicopter {0,1}
@attribute boeing {0,1}
@attribute prop {0,1}
@attribute f-16 {0,1}
@attribute tails {0,1}
@attribute smoke {0,1}
@attribute formation {0,1}
@attribute bear {0,1}
@attribute polar {0,1}
@attribute snow {0,1}
@attribute tundra {0,1}
@attribute ice {0,1}
@attribute head {0,1}
@attribute black {0,1}
@attribute reflection {0,1}
@attribute ground {0,1}
@attribute forest {0,1}
@attribute fall {0,1}
@attribute river {0,1}
@attribute field {0,1}
@attribute flowers {0,1}
@attribute stream {0,1}
@attribute meadow {0,1}
@attribute rocks {0,1}
@attribute hillside {0,1}
@attribute shrubs {0,1}
@attribute close-up {0,1}
@attribute grizzly {0,1}
@attribute cubs {0,1}
@attribute drum {0,1}
@attribute log {0,1}
@attribute hut {0,1}
@attribute sunset {0,1}
@attribute display {0,1}
@attribute plants {0,1}
@attribute pool {0,1}
@attribute coral {0,1}
@attribute fan {0,1}
@attribute anemone {0,1}
@attribute fish {0,1}
@attribute ocean {0,1}
@attribute diver {0,1}
@attribute sunrise {0,1}
@attribute face {0,1}
@attribute sand {0,1}
@attribute rainbow {0,1}
@attribute farms {0,1}
@attribute reefs {0,1}
@attribute vegetation {0,1}
@attribute house {0,1}
@attribute village {0,1}
@attribute carvings {0,1}
@attribute path {0,1}
@attribute wood {0,1}
@attribute dress {0,1}
@attribute coast {0,1}
@attribute sailboats {0,1}
@attribute cat {0,1}
@attribute tiger {0,1}
@attribute bengal {0,1}
@attribute fox {0,1}
@attribute kit {0,1}
@attribute run {0,1}
@attribute shadows {0,1}
@attribute winter {0,1}
@attribute autumn {0,1}
@attribute cliff {0,1}
@attribute bush {0,1}
@attribute rockface {0,1}
@attribute pair {0,1}
@attribute den {0,1}
@attribute coyote {0,1}
@attribute light {0,1}
@attribute arctic {0,1}
@attribute shore {0,1}
@attribute town {0,1}
@attribute road {0,1}
@attribute chapel {0,1}
@attribute moon {0,1}
@attribute harbor {0,1}
@attribute windmills {0,1}
@attribute restaurant {0,1}
@attribute wall {0,1}
@attribute skyline {0,1}
@attribute window {0,1}
@attribute clothes {0,1}
@attribute shops {0,1}
@attribute street {0,1}
@attribute cafe {0,1}
@attribute tables {0,1}
@attribute nets {0,1}
@attribute crafts {0,1}
@attribute roofs {0,1}
@attribute ruins {0,1}
@attribute stone {0,1}
@attribute cars {0,1}
@attribute castle {0,1}
@attribute courtyard {0,1}
@attribute statue {0,1}
@attribute stairs {0,1}
@attribute costume {0,1}
@attribute sponges {0,1}
@attribute sign {0,1}
@attribute palace {0,1}
@attribute paintings {0,1}
@attribute sheep {0,1}
@attribute valley {0,1}
@attribute balcony {0,1}
@attribute post {0,1}
@attribute gate {0,1}
@attribute plaza {0,1}
@attribute festival {0,1}
@attribute temple {0,1}
@attribute sculpture {0,1}
@attribute museum {0,1}
@attribute hotel {0,1}
@attribute art {0,1}
@attribute fountain {0,1}
@attribute market {0,1}
@attribute door {0,1}
@attribute mural {0,1}
@attribute garden {0,1}
@attribute star {0,1}
@attribute butterfly {0,1}
@attribute angelfish {0,1}
@attribute lion {0,1}
@attribute cave {0,1}
@attribute crab {0,1}
@attribute grouper {0,1}
@attribute pagoda {0,1}
@attribute buddha {0,1}
@attribute decoration {0,1}
@attribute monastery {0,1}
@attribute landscape {0,1}
@attribute detail {0,1}
@attribute writing {0,1}
@attribute sails {0,1}
@attribute food {0,1}
@attribute room {0,1}
@attribute entrance {0,1}
@attribute fruit {0,1}
@attribute night {0,1}
@attribute perch {0,1}
@attribute cow {0,1}
@attribute figures {0,1}
@attribute facade {0,1}
@attribute chairs {0,1}
@attribute guard {0,1}
@attribute pond {0,1}
@attribute church {0,1}
@attribute park {0,1}
@attribute barn {0,1}
@attribute arch {0,1}
@attribute hats {0,1}
@attribute cathedral {0,1}
@attribute ceremony {0,1}
@attribute crowd {0,1}
@attribute glass {0,1}
@attribute shrine {0,1}
@attribute model {0,1}
@attribute pillar {0,1}
@attribute carpet {0,1}
@attribute monument {0,1}
@attribute floor {0,1}
@attribute vines {0,1}
@attribute cottage {0,1}
@attribute poppies {0,1}
@attribute lawn {0,1}
@attribute tower {0,1}
@attribute vegetables {0,1}
@attribute bench {0,1}
@attribute rose {0,1}
@attribute tulip {0,1}
@attribute canal {0,1}
@attribute cheese {0,1}
@attribute railing {0,1}
@attribute dock {0,1}
@attribute horses {0,1}
@attribute petals {0,1}
@attribute umbrella {0,1}
@attribute column {0,1}
@attribute waterfalls {0,1}
@attribute elephant {0,1}
@attribute monks {0,1}
@attribute pattern {0,1}
@attribute interior {0,1}
@attribute vendor {0,1}
@attribute silhouette {0,1}
@attribute architecture {0,1}
@attribute blossoms {0,1}
@attribute athlete {0,1}
@attribute parade {0,1}
@attribute ladder {0,1}
@attribute sidewalk {0,1}
@attribute store {0,1}
@attribute steps {0,1}
@attribute relief {0,1}
@attribute fog {0,1}
@attribute frost {0,1}
@attribute frozen {0,1}
@attribute rapids {0,1}
@attribute crystals {0,1}
@attribute spider {0,1}
@attribute needles {0,1}
@attribute stick {0,1}
@attribute mist {0,1}
@attribute doorway {0,1}
@attribute vineyard {0,1}
@attribute pottery {0,1}
@attribute pots {0,1}
@attribute military {0,1}
@attribute designs {0,1}
@attribute mushrooms {0,1}
@attribute terrace {0,1}
@attribute tent {0,1}
@attribute bulls {0,1}
@attribute giant {0,1}
@attribute tortoise {0,1}
@attribute wings {0,1}
@attribute albatross {0,1}
@attribute booby {0,1}
@attribute nest {0,1}
@attribute hawk {0,1}
@attribute iguana {0,1}
@attribute lizard {0,1}
@attribute marine {0,1}
@attribute penguin {0,1}
@attribute deer {0,1}
@attribute white-tailed {0,1}
@attribute horns {0,1}
@attribute slope {0,1}
@attribute mule {0,1}
@attribute fawn {0,1}
@attribute antlers {0,1}
@attribute elk {0,1}
@attribute caribou {0,1}
@attribute herd {0,1}
@attribute moose {0,1}
@attribute clearing {0,1}
@attribute mare {0,1}
@attribute foals {0,1}
@attribute orchid {0,1}
@attribute lily {0,1}
@attribute stems {0,1}
@attribute row {0,1}
@attribute chrysanthemums {0,1}
@attribute blooms {0,1}
@attribute cactus {0,1}
@attribute saguaro {0,1}
@attribute giraffe {0,1}
@attribute zebra {0,1}
@attribute tusks {0,1}
@attribute hands {0,1}
@attribute train {0,1}
@attribute desert {0,1}
@attribute dunes {0,1}
@attribute canyon {0,1}
@attribute lighthouse {0,1}
@attribute mast {0,1}
@attribute seals {0,1}
@attribute texture {0,1}
@attribute dust {0,1}
@attribute pepper {0,1}
@attribute swimmers {0,1}
@attribute pyramid {0,1}
@attribute mosque {0,1}
@attribute sphinx {0,1}
@attribute truck {0,1}
@attribute fly {0,1}
@attribute trunk {0,1}
@attribute baby {0,1}
@attribute eagle {0,1}
@attribute lynx {0,1}
@attribute rodent {0,1}
@attribute squirrel {0,1}
@attribute goat {0,1}
@attribute marsh {0,1}
@attribute wolf {0,1}
@attribute pack {0,1}
@attribute dall {0,1}
@attribute porcupine {0,1}
@attribute whales {0,1}
@attribute rabbit {0,1}
@attribute tracks {0,1}
@attribute crops {0,1}
@attribute animals {0,1}
@attribute moss {0,1}
@attribute trail {0,1}
@attribute locomotive {0,1}
@attribute railroad {0,1}
@attribute vehicle {0,1}
@attribute aerial {0,1}
@attribute range {0,1}
@attribute insect {0,1}
@attribute man {0,1}
@attribute woman {0,1}
@attribute rice {0,1}
@attribute prayer {0,1}
@attribute glacier {0,1}
@attribute harvest {0,1}
@attribute girl {0,1}
@attribute indian {0,1}
@attribute pole {0,1}
@attribute dance {0,1}
@attribute african {0,1}
@attribute shirt {0,1}
@attribute buddhist {0,1}
@attribute tomb {0,1}
@attribute outside {0,1}
@attribute shade {0,1}
@attribute formula {0,1}
@attribute turn {0,1}
@attribute straightaway {0,1}
@attribute prototype {0,1}
@attribute steel {0,1}
@attribute scotland {0,1}
@attribute ceiling {0,1}
@attribute furniture {0,1}
@attribute lichen {0,1}
@attribute pups {0,1}
@attribute antelope {0,1}
@attribute pebbles {0,1}
@attribute remains {0,1}
@attribute leopard {0,1}
@attribute jeep {0,1}
@attribute calf {0,1}
@attribute reptile {0,1}
@attribute snake {0,1}
@attribute cougar {0,1}
@attribute oahu {0,1}
@attribute kauai {0,1}
@attribute maui {0,1}
@attribute school {0,1}
@attribute canoe {0,1}
@attribute race {0,1}
@attribute hawaii {0,1}

@data
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
