@relation musicout-weka.filters.unsupervised.attribute.Remove-V-R73-78

@attribute amazed-suprised {0,1}
@attribute happy-pleased {0,1}
@attribute relaxing-calm {0,1}
@attribute quiet-still {0,1}
@attribute sad-lonely {0,1}
@attribute angry-aggresive {0,1}

@data
0,1,1,0,0,0
1,0,0,0,0,1
0,1,0,0,0,1
0,0,1,0,0,0
0,0,0,1,0,0
0,1,1,0,0,0
1,1,0,0,0,0
0,0,0,0,0,1
1,1,0,0,0,0
0,0,1,1,1,0
0,1,1,0,0,0
0,0,1,0,0,0
1,0,0,0,0,0
0,0,1,0,1,0
0,0,0,0,1,0
1,0,0,0,0,1
0,0,1,1,1,0
0,1,1,0,0,0
0,0,0,0,1,1
0,0,1,1,1,0
1,0,0,0,0,1
0,1,0,0,0,0
0,1,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,1,0,0,1
0,0,1,0,0,0
1,1,0,0,0,1
0,1,0,0,0,0
0,0,1,0,0,0
0,0,0,0,0,1
0,0,1,1,0,0
1,0,0,0,0,1
0,0,0,0,0,1
1,1,0,0,0,0
0,1,1,0,0,0
0,0,1,1,1,0
0,1,1,0,0,0
1,1,0,0,0,0
1,0,0,0,0,1
0,1,0,0,0,0
1,0,0,0,1,0
0,0,1,1,1,0
0,1,1,0,0,0
1,1,0,0,0,0
0,1,1,0,0,0
0,0,1,1,1,0
0,1,1,0,0,0
0,0,0,0,0,1
1,0,0,0,0,1
0,0,0,0,0,1
0,0,1,0,1,1
0,0,0,0,0,1
1,0,0,0,0,1
1,0,0,0,0,1
0,0,1,1,1,0
0,0,1,1,1,0
0,0,1,0,1,0
1,1,0,0,0,0
0,1,0,0,1,0
0,0,0,0,1,1
0,1,1,0,0,0
0,0,1,1,0,0
0,0,1,1,1,0
0,0,1,1,1,0
1,0,0,0,0,1
0,0,1,0,0,0
0,0,1,1,1,0
0,1,1,0,0,0
1,0,0,0,0,1
0,0,0,0,1,0
1,0,0,0,0,1
0,0,0,0,0,1
1,1,1,0,0,0
1,0,1,0,0,0
0,0,1,0,1,1
0,1,1,0,0,0
0,1,1,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
1,0,0,0,0,0
0,0,1,0,1,0
1,0,0,0,0,0
0,0,1,0,0,0
0,0,1,1,0,0
0,0,1,0,1,0
0,0,1,1,0,0
0,0,0,0,0,1
0,1,0,0,0,1
0,0,0,0,1,0
1,0,0,0,0,1
0,0,1,0,1,0
0,1,1,0,0,0
1,0,0,0,0,1
0,0,0,0,0,1
0,0,1,1,1,0
1,0,0,0,0,1
0,0,0,0,0,1
1,1,0,0,0,0
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,1,0,0,0
1,0,0,0,0,1
0,1,1,0,0,0
1,0,0,0,0,1
1,1,0,0,0,0
0,0,0,0,0,1
1,0,0,0,0,0
0,0,1,1,1,0
1,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,1
0,1,1,1,0,0
0,1,1,0,0,0
1,1,0,0,0,1
0,0,1,0,1,0
0,0,1,0,1,0
0,0,1,0,0,1
0,0,1,1,1,0
0,0,0,0,0,1
0,1,1,0,0,0
1,0,0,0,0,1
0,0,0,1,1,0
0,1,1,0,0,0
1,0,0,0,0,1
0,0,1,1,0,0
0,0,0,0,0,1
1,0,0,0,0,0
0,1,1,0,0,0
1,1,0,0,0,0
0,1,1,0,0,0
0,0,0,0,1,1
1,0,0,0,0,0
0,0,0,0,0,1
1,0,0,0,0,0
0,1,1,0,0,0
0,0,1,1,1,0
1,0,0,0,0,1
0,0,1,0,1,0
0,0,0,0,0,1
0,0,1,0,0,0
1,0,0,0,0,1
1,0,0,0,0,1
1,1,0,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,1
0,0,0,0,0,1
0,1,0,0,0,0
1,0,0,0,0,0
0,0,0,1,1,0
1,0,0,0,0,1
1,0,0,0,0,1
0,1,1,1,0,0
0,0,1,0,1,0
0,0,0,1,1,0
0,0,0,0,0,1
0,0,1,1,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,1,0,0,0,0
0,0,1,0,0,0
1,0,0,0,0,1
0,0,0,0,0,1
0,0,1,0,1,0
0,0,0,0,0,1
0,0,1,1,1,0
0,0,0,0,0,1
1,0,0,0,0,0
0,0,1,0,1,0
0,0,1,1,1,0
0,0,0,0,0,1
0,0,0,0,0,1
1,0,0,0,0,1
0,0,0,0,0,1
0,1,0,0,0,0
1,0,0,0,0,0
0,1,1,0,0,0
1,0,0,0,0,1
0,0,1,0,0,0
0,1,1,0,0,0
0,0,0,0,0,1
1,0,0,0,0,0
0,1,0,0,0,0
0,0,0,1,1,0
0,0,1,1,0,0
0,1,1,0,0,0
0,0,1,0,0,0
0,1,0,0,0,0
0,1,1,0,0,0
1,0,0,0,0,1
0,0,1,0,0,0
0,0,1,1,0,0
0,1,1,0,0,0
1,0,0,0,0,1
1,0,0,0,0,1
0,1,0,0,0,0
0,0,0,0,1,0
1,1,1,0,0,0
1,0,0,0,0,0
0,0,1,0,1,0
0,0,0,0,0,1
0,0,1,0,1,0
0,0,0,0,0,1
1,1,0,0,0,0
0,0,0,1,0,0
0,0,0,0,0,1
0,0,1,1,1,0
0,1,0,0,0,0
1,0,0,0,0,1
1,0,0,0,0,1
0,0,0,0,0,1
1,0,0,0,0,0
0,0,0,0,1,0
0,0,1,1,1,0
1,0,0,0,0,1
0,0,0,1,1,0
0,0,0,0,0,1
1,0,0,0,0,1
0,0,0,0,0,1
0,1,1,0,0,0
0,0,1,0,0,0
0,1,1,1,0,0
0,0,0,0,0,1
0,0,0,0,0,1
1,0,0,0,0,1
0,1,1,0,0,0
1,0,0,0,0,0
0,0,1,1,1,0
1,0,0,0,0,0
0,1,1,0,0,0
1,1,0,0,0,0
0,0,1,1,0,0
0,0,1,1,1,0
0,1,1,0,0,0
0,0,0,0,0,1
0,1,0,0,0,0
0,1,0,0,0,0
0,1,1,0,0,0
0,0,0,0,0,1
1,1,0,0,0,0
0,0,1,1,1,0
0,0,1,1,0,0
1,0,0,0,0,1
1,0,0,0,0,1
1,1,0,0,0,0
0,1,0,0,0,0
0,1,1,0,0,0
1,1,1,0,0,0
0,0,1,0,0,0
0,0,0,1,0,0
0,0,1,1,1,0
1,1,1,0,0,0
0,1,0,1,0,0
0,0,1,0,1,0
1,0,0,0,0,1
1,1,0,0,0,0
1,0,0,0,0,1
1,1,0,0,0,0
0,0,0,0,0,1
1,0,0,0,0,1
1,1,0,0,0,0
1,0,0,0,0,1
1,0,0,0,0,1
0,1,1,1,0,0
1,0,0,0,0,1
0,0,1,0,1,0
0,0,1,1,0,0
0,0,0,0,1,1
0,1,1,0,0,0
0,0,1,1,0,0
0,0,0,0,0,1
0,0,1,1,1,0
1,0,0,0,0,0
0,1,1,0,0,0
0,0,1,1,1,0
1,0,0,0,0,1
1,0,0,0,0,1
0,0,1,0,1,0
0,0,0,0,0,1
1,1,0,0,0,0
1,0,1,0,0,0
1,0,0,0,0,1
0,0,1,1,1,0
0,0,1,1,0,0
0,0,1,0,0,0
0,0,0,0,0,1
0,0,0,0,1,1
0,0,1,0,1,0
0,0,1,1,1,0
1,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,1,0
0,0,1,1,0,1
1,0,0,0,0,1
1,0,0,0,1,0
0,0,1,0,0,0
0,0,0,1,1,0
0,0,0,1,1,0
0,0,1,1,1,0
0,0,0,1,1,0
1,0,0,0,1,0
1,0,0,0,0,1
1,1,0,0,0,0
1,0,0,0,1,0
0,0,1,1,0,0
0,1,1,0,0,0
0,1,1,0,0,0
0,0,1,1,1,0
1,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,0,1
0,0,1,1,0,0
0,0,1,1,1,0
0,0,0,1,0,0
0,0,1,1,0,0
0,0,1,1,1,0
1,0,0,0,0,1
0,0,1,1,0,0
0,0,1,1,0,0
0,0,1,0,0,0
0,1,1,0,0,0
0,0,0,1,1,0
0,0,0,1,1,0
1,1,0,0,0,0
0,1,1,0,0,0
1,0,0,0,0,0
1,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,0,1
0,1,1,0,0,0
0,0,1,1,1,0
0,1,1,0,0,0
0,0,1,1,0,0
0,0,0,1,0,0
1,1,0,0,0,0
0,0,1,0,0,0
0,0,0,0,0,1
1,0,0,0,0,1
0,1,0,0,0,0
0,0,1,1,1,0
0,0,0,0,1,0
0,1,1,0,0,0
0,0,1,1,1,0
0,0,1,0,0,0
1,0,0,0,0,0
0,0,1,1,0,0
0,0,1,1,0,0
0,0,0,1,1,0
0,0,0,1,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,1,0,1,0
0,1,0,0,0,0
1,1,1,0,0,0
1,1,1,0,0,0
0,0,0,1,1,0
1,1,0,0,0,0
0,0,1,1,1,0
0,0,1,1,1,0
0,0,1,1,0,0
0,1,0,0,0,1
1,1,1,0,0,0
1,0,0,0,0,1
1,1,0,0,0,0
1,1,0,0,0,1
0,1,1,0,0,0
0,0,1,0,0,0
0,0,0,1,1,0
1,0,0,0,0,0
0,1,1,1,0,0
1,0,0,0,0,1
1,0,0,0,0,0
0,1,1,0,0,0
0,0,1,0,1,0
0,0,0,1,1,1
0,0,1,0,0,0
1,0,0,0,0,1
1,0,0,0,0,0
0,1,1,0,0,0
0,1,0,0,0,0
0,0,1,1,1,0
